[11-Nov-2024 10:05:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 84
[11-Nov-2024 10:05:39 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 85
[11-Nov-2024 10:08:37 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 65
[11-Nov-2024 10:08:37 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 116
[11-Nov-2024 10:08:37 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 117
[11-Nov-2024 10:08:37 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 118
[11-Nov-2024 10:08:37 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 119
[11-Nov-2024 10:09:32 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 65
[11-Nov-2024 10:09:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 116
[11-Nov-2024 10:09:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 117
[11-Nov-2024 10:09:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 118
[11-Nov-2024 10:09:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 119
[11-Nov-2024 10:11:12 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:11:12 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 100
[11-Nov-2024 10:11:12 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:11:12 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:11:12 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:11:32 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:11:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 100
[11-Nov-2024 10:11:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:11:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
[11-Nov-2024 10:11:32 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_NOTIFY_URL - assumed 'PAYPAL_NOTIFY_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 103
[11-Nov-2024 10:15:35 Europe/Berlin] PHP Warning:  session_start(): Setting option 'cookie_samesite' failed in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 77
[11-Nov-2024 10:15:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CURRENCY - assumed 'PAYPAL_CURRENCY' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 100
[11-Nov-2024 10:15:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_RETURN_URL - assumed 'PAYPAL_RETURN_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 101
[11-Nov-2024 10:15:35 Europe/Berlin] PHP Notice:  Use of undefined constant PAYPAL_CANCEL_URL - assumed 'PAYPAL_CANCEL_URL' in C:\portablexampp\htdocs\crowdfunder\process_payment.php on line 102
